,County,ratio
2,Butte,57814.0
4,Contra Costa,42600.555555555555
6,Fresno,39776.0
9,Imperial,90913.5
11,Kern,49820.22222222222
12,Kings,50455.333333333336
14,Marin,259666.0
15,Mendocino,87606.0
16,Merced,54953.0
18,Monterey,72599.0
22,Riverside,45384.40740740741
23,Sacramento,41647.97297297297
24,San Benito,61537.0
27,San Francisco,58887.0
28,San Joaquin,125443.33333333333
31,Santa Barbara,111631.75
34,Shasta,60013.333333333336
35,Siskiyou,43724.0
36,Solano,40600.90909090909
40,Tulare,66551.57142857143
41,Tuolumne,54539.0
43,Yolo,55102.0
44,Yuba,78041.0
