,County,ratio
0,Alameda,36233.760869565216
1,Amador,39383.0
3,Colusa,21627.0
5,Del Norte,13914.0
7,Glenn,14023.5
8,Humboldt,34093.25
10,Inyo,17987.0
13,Los Angeles,30438.307228915663
17,Modoc,8777.0
19,Napa,27883.4
20,Orange,27947.087719298244
21,Placer,28082.071428571428
25,San Bernardino,36806.83050847457
26,San Diego,32778.07843137255
29,San Luis Obispo,31556.666666666668
30,San Mateo,24048.28125
32,Santa Clara,28080.72463768116
33,Santa Cruz,39179.28571428572
37,Sonoma,38457.07692307692
38,Stanislaus,36654.333333333336
39,Tehama,31958.0
42,Ventura,31517.296296296296
